player_id,player_name,birth_date,country,position,bats,throws,sign_date,signing_bonus_usd,source_updated_at
INT-0256,Emilio Estrada 2,2001-08-22,Dominican Republic,RHP,R,R,2018-07-02,138000.0,2025-02-20
INT-0257,Andres Ramirez 2,1999-10-15,Dominican Republic,OF,L,R,2018-07-02,10000.0,2025-03-06
INT-0258,Esteban Dominguez,2006-10-15,Japan,OF,S,L,2023-07-02,53000.0,2025-02-23
INT-0259,Javier Rojas,2001-02-09,Venezuela,RHP,L,R,2018-07-02,31000.0,2025-01-19
INT-0260,Rafael Martinez,1999-12-08,Japan,RHP,L,R,2018-07-02,153000.0,2025-07-19
INT-0261,Ji-ho Jimenez 2,2007-04-22,DOM,RHP,R,R,2024-07-02,85000.0,2025-07-26
INT-0262,Carlos Perez,2005-01-08,Colombia,RHP,R,R,2023-07-02,55000.0,2025-06-05
INT-0263,Luis Mendez,2002-08-01,Dominican Republic,OF,L,R,2020-07-02,106000.0,2025-08-04
INT-0264,Javier Fernandez,2006-01-22,Venezuela,RHP,L,R,2025-07-02,118000.0,2025-01-19
INT-0265,Esteban Dominguez 2,2006-08-09,Dominican Republic,RHP,R,R,2025-07-02,16000.0,2025-07-10
INT-0266,Ren Alvarez,2005-04-23,Venezuela,OF,L,R,2022-07-02,119000.0,2025-06-08
INT-0267,Gabriel Garcia,2003-09-06,Dominican Republic,IF,S,R,2021-07-02,84000.0,2025-03-25
INT-0268,Seong-hyun Quintero,2006-06-03,Japan,OF,L,R,2022-07-02,103000.0,2025-09-16
INT-0269,Haruto Estrada,2004-01-23,South Korea,LHP,L,L,2021-07-02,41000.0,2025-02-04
INT-0270,Ji-ho Lee,2001-08-10,Japan,RHP,R,R,2018-07-02,10000.0,2025-05-26
INT-0271,Esteban Lopez,2004-11-26,Venezuela,LHP,R,L,2022-07-02,88000.0,2025-03-22
INT-0272,Santiago Han 3,2003-07-12,Venezuela,OF,R,R,2020-07-02,29000.0,2025-02-02
INT-0273,Adrian Castillo,1999-06-23,Japan,RHP,R,L,2018-07-02,10000.0,2025-03-17
INT-0274,Diego Sato,2003-10-05,Japan,IF,R,R,2020-07-02,36000.0,2025-01-03
INT-0275,Diego Garcia,2000-06-02,Mexico,IF,R,R,2018-07-02,338000.0,2025-01-27
INT-0276,Isaac Kim,2000-01-04,Venezuela,C,R,R,2019-07-02,10000.0,2025-03-02
INT-0277,Carlos Quintero,2006-08-12,Colombia,IF,R,R,2023-07-02,-5000.0,2025-09-12
INT-0278,Ji-ho Yamamoto,2000-11-26,South Korea,IF,R,R,2018-07-02,307000.0,2025-01-07
INT-0279,Luis Navarro 2,2004-11-22,Venezuela,IF,R,R,2021-07-02,105000.0,2025-05-19
INT-0280,Seong-hyun Lee,2001-05-25,Mexico,OF,R,R,2018-07-02,10000.0,2025-09-13
INT-0281,Rafael Tanaka,2000-05-08,Japan,LHP,L,L,2018-07-02,10000.0,2025-04-04
INT-0282,Isaac Ramirez 2,2006-11-01,Colombia,RHP,R,L,2022-07-02,89000.0,2025-01-08
INT-0283,Daniel Choi,2003-03-16,Colombia,IF,R,R,2021-07-02,37000.0,2025-03-27
INT-0284,Takeshi Alvarez,2006-01-20,South Korea,OF,R,L,2022-07-02,98000.0,2025-01-24
INT-0285,Seong-hyun Park 3,2006-07-20,Mexico,RHP,R,R,2022-07-02,36000.0,2025-04-17
INT-0286,Andres Lee,2001-11-14,Dominican Republic,OF,R,R,2018-07-02,77000.0,2025-07-25
INT-0287,Jorge Park,2007-12-13,Mexico,IF,R,R,2023-07-02,176000.0,2025-03-08
INT-0288,Min-jun Garcia 2,1999-11-05,Dominican Republic,LHP,L,L,2018-07-02,22000.0,2025-08-16
INT-0289,Takeshi Alvarez 2,2004-10-08,Dominican Republic,OF,L,R,2023-07-02,218000.0,2025-04-08
INT-0290,Kaito Kim,2002-04-14,South Korea,IF,R,R,2019-07-02,26000.0,2025-07-12
INT-0291,Ji-ho Park,2001-07-08,Colombia,OF,L,R,2018-07-02,232000.0,2025-03-21
INT-0292,Ji-ho Garcia 2,2007-01-26,Venezuela,IF,L,R,2025-07-02,10000.0,2025-04-24
INT-0293,Kenji Perez 2,2004-08-27,Mexico,RHP,R,L,2022-07-02,39000.0,2025-06-20
INT-0294,Carlos Mendez,2007-10-25,,OF,L,R,2025-07-02,71000.0,2025-06-11
INT-0295,Ji-ho Torres,2007-02-11,Venezuela,RHP,R,R,2025-07-02,35000.0,2025-03-22
INT-0296,Santiago Herrera,2001-04-10,MEX,RHP,R,R,2020-07-02,37000.0,2025-09-27
INT-0297,Diego Dominguez,2004-07-08,Cuba,OF,S,R,2021-07-02,17000.0,2025-04-14
INT-0298,Mateo Yamamoto 2,2006-03-08,Venezuela,OF,R,R,2025-07-02,287000.0,2025-09-04
INT-0299,Esteban Lopez 2,2004-05-04,Venezuela,LHP,L,L,2023-07-02,48000.0,2025-06-11
INT-0300,Rafael Nakamura,2007-05-04,Colombia,OF,L,R,2024-07-02,23000.0,2025-03-02
INT-0301,Marco Mendez,2001-12-07,Cuba,OF,S,R,2018-07-02,142000.0,2025-05-04
INT-0302,Esteban Herrera 2,2002-08-11,Dominican Republic,RHP,R,R,2019-07-02,16000.0,2025-08-09
INT-0303,Gabriel Rojas,2005-06-04,Mexico,LHP,L,L,2024-07-02,95000.0,2025-02-06
INT-0304,Emilio Dominguez,2005-05-13,Panamá,IF,R,R,2023-07-02,52000.0,2025-07-01
INT-0305,Carlos Park 2,2005-10-08,Dominican Republic,RHP,R,R,2022-07-02,94000.0,2025-05-06
INT-0306,Min-jun Martinez,2007-06-19,Dominican Republic,RHP,L,R,2025-07-02,44000.0,2025-03-12
INT-0307,Hector Garcia 3,1999-07-24,Dominican Republic,LHP,S,L,2018-07-02,18000.0,2025-04-09
INT-0308,Daichi Vargas 2,1999-09-01,Dominican Republic,RHP,R,L,2018-07-02,85000.0,2025-06-17
INT-0309,Isaac Ortega 2,2004-02-22,D.R.,IF,R,R,2022-07-02,37000.0,2025-07-24
INT-0310,Andres Herrera,2003-01-03,Mexico,IF,L,R,2019-07-02,24000.0,2025-09-27
INT-0311,Rafael Kim,2002-09-12,Cuba,OF,L,R,2021-07-02,127000.0,2025-07-23
INT-0312,Min-jun Lee,2004-09-03,Panama,RHP,R,L,2023-07-02,115000.0,2025-02-07
INT-0313,Marco Nakamura,2004-03-13,South Korea,C,R,R,2020-07-02,38000.0,2025-07-09
INT-0314,Rafael Garcia,2005-06-05,Dominican Republic,C,S,R,2024-07-02,39000.0,2025-02-27
INT-0315,Marco Martinez,2006-01-12,Dominican Republic,RHP,S,L,2025-07-02,71000.0,2025-04-19
INT-0316,Haruto Park,2003-09-17,South Korea,C,S,R,2019-07-02,157000.0,2025-04-15
INT-0317,Ren Quintero 2,2007-05-17,Panama,RHP,R,R,2025-07-02,29000.0,2025-05-18
INT-0318,Marco Kim,2000-01-08,Venezuela,LHP,L,L,2018-07-02,45000.0,2025-08-17
INT-0319,Santiago Quintero 2,2006-02-24,South Korea,IF,R,R,2024-07-02,87000.0,2025-08-23
INT-0320,Takeshi Kim,2004-01-15,Mexico,IF,L,R,2022-07-02,20000.0,2025-04-17
INT-0008,Carlos Castillo,2005-02-25,Japan,C,R,R,2023-07-02,79000.0,2025-06-10
